method,batch_size,transaction_size,concurrent,concurrency,total_duration
basic,1,1,false,1,117147281971
onduplicate,1,1,false,1,120128770731
updatecase,1,1,false,1,121491581353
deleteinsert,1,1,false,1,155106795153
collectjoin,1,1,false,1,73003602577
basic,1,1,true,1,109615821948
onduplicate,1,1,true,1,119065672772
updatecase,1,1,true,1,119194618842
deleteinsert,1,1,true,1,153524396996
collectjoin,1,1,true,1,73727812852
basic,1,1,true,2,53159474176
onduplicate,1,1,true,2,57315269008
updatecase,1,1,true,2,56345528246
deleteinsert,1,1,true,2,72458212578
collectjoin,1,1,true,2,35418771850
basic,1,1,true,5,23676426299
onduplicate,1,1,true,5,25552699475
updatecase,1,1,true,5,25170401462
deleteinsert,1,1,true,5,31927110233
collectjoin,1,1,true,5,18054607055
basic,1,1,true,10,14019074328
onduplicate,1,1,true,10,14981872930
updatecase,1,1,true,10,14971160633
deleteinsert,1,1,true,10,19242937861
collectjoin,1,1,true,10,10991991193
basic,1,1,true,20,10302011753
onduplicate,1,1,true,20,11370761191
updatecase,1,1,true,20,11188105529
deleteinsert,1,1,true,20,14175035506
collectjoin,1,1,true,20,7668337074
basic,1,1,true,50,7554956083
onduplicate,1,1,true,50,8197812873
updatecase,1,1,true,50,8030420341
deleteinsert,1,1,true,50,10466772763
collectjoin,1,1,true,50,5968604411
basic,1,1,true,100,6650925579
onduplicate,1,1,true,100,10035752941
updatecase,1,1,true,100,10287876375
deleteinsert,1,1,true,100,11181159470
collectjoin,1,1,true,100,5403660006
basic,1,10,false,1,26362590999
onduplicate,1,10,false,1,71485282648
updatecase,1,10,false,1,69101141811
deleteinsert,1,10,false,1,102840721882
basic,1,10,true,1,26010160551
onduplicate,1,10,true,1,70608620259
updatecase,1,10,true,1,69057647402
deleteinsert,1,10,true,1,105398549990
basic,1,10,true,2,12782779712
onduplicate,1,10,true,2,35528981388
updatecase,1,10,true,2,34764544950
deleteinsert,1,10,true,2,50337480811
basic,1,10,true,5,5452960555
onduplicate,1,10,true,5,14834009276
updatecase,1,10,true,5,14311649466
deleteinsert,1,10,true,5,21223191278
basic,1,10,true,10,3207711977
onduplicate,1,10,true,10,8675043608
updatecase,1,10,true,10,8316496714
deleteinsert,1,10,true,10,12445106719
basic,1,10,true,20,2557799393
