method,batch_size,transaction_size,concurrent,concurrency,total_duration
basic,1,1,false,1,115561811460
basic,1,100,false,1,15168722798
basic,1,200,false,1,14471771928
basic,1,500,false,1,13797556830
basic,1,1000,false,1,13831635761
basic,1,2000,false,1,13728459381
basic,1,5000,false,1,13741311303
basic,1,10000,false,1,13781253470
basic,1,20000,false,1,13707150104
basic,1,50000,false,1,13393691830
basic,1,100000,false,1,13475613159
updatecase,20000,1,false,1,58700995369
collectjoin,20000,1,false,1,2794758631
updatecase,20000,100,false,1,57147594540
updatecase,20000,200,false,1,56672644513
updatecase,20000,500,false,1,56151144996
updatecase,20000,1000,false,1,56273919543
updatecase,20000,2000,false,1,57679121416
updatecase,20000,5000,false,1,57550135066
updatecase,20000,10000,false,1,57411119646
updatecase,20000,20000,false,1,57612833730
updatecase,20000,50000,false,1,56087801216
updatecase,20000,100000,false,1,57433735666
updatecase,10000,1,false,1,30322503079
collectjoin,10000,1,false,1,2724711827
updatecase,10000,100,false,1,29828656327
updatecase,10000,200,false,1,29992158069
updatecase,10000,500,false,1,29833384529
updatecase,10000,1000,false,1,30055070332
updatecase,10000,2000,false,1,29664950432
updatecase,10000,5000,false,1,29922449997
updatecase,10000,10000,false,1,29974321540
updatecase,10000,20000,false,1,30051511082
updatecase,10000,50000,false,1,29995083298
updatecase,10000,100000,false,1,30073625814
onduplicate,5000,1,false,1,7037462701
updatecase,5000,1,false,1,16986977699
deleteinsert,5000,1,false,1,8726788800
collectjoin,5000,1,false,1,2757038967
onduplicate,5000,100,false,1,7181256058
updatecase,5000,100,false,1,16823120273
deleteinsert,5000,100,false,1,8745391534
onduplicate,5000,200,false,1,7175509493
updatecase,5000,200,false,1,17023366784
deleteinsert,5000,200,false,1,8690517873
onduplicate,5000,500,false,1,6978611568
updatecase,5000,500,false,1,16837830635
deleteinsert,5000,500,false,1,8738478370
onduplicate,5000,1000,false,1,7103605861
updatecase,5000,1000,false,1,16832993596
deleteinsert,5000,1000,false,1,8804717741
onduplicate,5000,2000,false,1,7218689279
updatecase,5000,2000,false,1,16837219753
deleteinsert,5000,2000,false,1,9026177371
onduplicate,5000,5000,false,1,7185452100
updatecase,5000,5000,false,1,16971047799
deleteinsert,5000,5000,false,1,8810258220
onduplicate,5000,10000,false,1,7014719737
updatecase,5000,10000,false,1,16605949811
deleteinsert,5000,10000,false,1,8788064018
onduplicate,5000,20000,false,1,6982748128
updatecase,5000,20000,false,1,16977944406
deleteinsert,5000,20000,false,1,8722026993
onduplicate,5000,50000,false,1,7293567947
updatecase,5000,50000,false,1,16703782927
deleteinsert,5000,50000,false,1,8695816468
onduplicate,5000,100000,false,1,6839226827
updatecase,5000,100000,false,1,16735118634
deleteinsert,5000,100000,false,1,8775204608
onduplicate,2000,1,false,1,7073832805
updatecase,2000,1,false,1,9180373061
deleteinsert,2000,1,false,1,9116846515
collectjoin,2000,1,false,1,2844808248
onduplicate,2000,100,false,1,6835551145
updatecase,2000,100,false,1,9025698772
deleteinsert,2000,100,false,1,8854104522
onduplicate,2000,200,false,1,6914535098
updatecase,2000,200,false,1,8795000551
deleteinsert,2000,200,false,1,8656107913
onduplicate,2000,500,false,1,6791172017
updatecase,2000,500,false,1,9298067807
deleteinsert,2000,500,false,1,8867614241
onduplicate,2000,1000,false,1,6848059515
updatecase,2000,1000,false,1,8949011311
deleteinsert,2000,1000,false,1,8588902744
onduplicate,2000,2000,false,1,6853775250
updatecase,2000,2000,false,1,9059699238
deleteinsert,2000,2000,false,1,8806163467
onduplicate,2000,5000,false,1,6799708924
updatecase,2000,5000,false,1,9067863952
deleteinsert,2000,5000,false,1,8832472644
onduplicate,2000,10000,false,1,6817800961
updatecase,2000,10000,false,1,8946248222
deleteinsert,2000,10000,false,1,8678627139
onduplicate,2000,20000,false,1,6860541697
updatecase,2000,20000,false,1,8998684586
deleteinsert,2000,20000,false,1,8716444632
onduplicate,2000,50000,false,1,6719649672
updatecase,2000,50000,false,1,8717257539
deleteinsert,2000,50000,false,1,8609303160
onduplicate,2000,100000,false,1,6799878720
updatecase,2000,100000,false,1,8688412623
deleteinsert,2000,100000,false,1,8518491193
onduplicate,1000,1,false,1,6431622337
updatecase,1000,1,false,1,6562884637
deleteinsert,1000,1,false,1,8423042383
collectjoin,1000,1,false,1,2973451085
onduplicate,1000,100,false,1,6090139747
updatecase,1000,100,false,1,6452866742
deleteinsert,1000,100,false,1,7975425490
onduplicate,1000,200,false,1,6179843332
updatecase,1000,200,false,1,6456873757
deleteinsert,1000,200,false,1,7859552439
onduplicate,1000,500,false,1,6066909875
updatecase,1000,500,false,1,6447456209
deleteinsert,1000,500,false,1,7992740484
onduplicate,1000,1000,false,1,6100971092
updatecase,1000,1000,false,1,6457365037
deleteinsert,1000,1000,false,1,8081669714
onduplicate,1000,2000,false,1,6067089493
updatecase,1000,2000,false,1,6474015061
deleteinsert,1000,2000,false,1,7993633382
onduplicate,1000,5000,false,1,6116405422
updatecase,1000,5000,false,1,6065560551
deleteinsert,1000,5000,false,1,8073086914
onduplicate,1000,10000,false,1,6041683221
updatecase,1000,10000,false,1,6463556670
deleteinsert,1000,10000,false,1,7963846957
onduplicate,1000,20000,false,1,6131968888
updatecase,1000,20000,false,1,6434148635
deleteinsert,1000,20000,false,1,7748451763
onduplicate,1000,50000,false,1,6265127085
updatecase,1000,50000,false,1,6608527573
deleteinsert,1000,50000,false,1,7819355734
onduplicate,1000,100000,false,1,6017043149
updatecase,1000,100000,false,1,6561629046
deleteinsert,1000,100000,false,1,7826154606
onduplicate,500,1,false,1,6282528124
updatecase,500,1,false,1,5347858964
deleteinsert,500,1,false,1,8339726955
collectjoin,500,1,false,1,3071877051
onduplicate,500,100,false,1,6010719432
updatecase,500,100,false,1,4976891185
deleteinsert,500,100,false,1,8272004493
onduplicate,500,200,false,1,6030406189
updatecase,500,200,false,1,5011878822
deleteinsert,500,200,false,1,8137953385
onduplicate,500,500,false,1,6089222320
updatecase,500,500,false,1,5007620804
deleteinsert,500,500,false,1,8331500276
onduplicate,500,1000,false,1,6311514507
updatecase,500,1000,false,1,5064417307
deleteinsert,500,1000,false,1,8457095086
onduplicate,500,2000,false,1,6130047330
updatecase,500,2000,false,1,5091737086
deleteinsert,500,2000,false,1,8116473658
onduplicate,500,5000,false,1,6025600143
updatecase,500,5000,false,1,5097711512
deleteinsert,500,5000,false,1,8195819810
onduplicate,500,10000,false,1,6020109258
updatecase,500,10000,false,1,4945878997
deleteinsert,500,10000,false,1,8086943210
onduplicate,500,20000,false,1,6039196239
updatecase,500,20000,false,1,4962139650
deleteinsert,500,20000,false,1,8041901412
onduplicate,500,50000,false,1,6048979893
updatecase,500,50000,false,1,5100835123
deleteinsert,500,50000,false,1,8063865035
onduplicate,500,100000,false,1,6145464763
updatecase,500,100000,false,1,5157899662
deleteinsert,500,100000,false,1,8077010886
onduplicate,200,1,false,1,7036989297
updatecase,200,1,false,1,5039691289
deleteinsert,200,1,false,1,9539243034
