method,batch_size,transaction_size,concurrent,concurrency,total_duration
updatecase,1,1,false,1,117771441697
updatecase,1,1,true,1,117309343199
updatecase,1,1,true,5,24853461908
updatecase,1,1,true,10,14777881622
updatecase,1,1,true,15,12927729157
updatecase,1,1,true,20,12461523822
updatecase,1,1,true,30,11307914989
updatecase,1,1,true,50,11222053215
updatecase,1,1,true,100,9788440706
updatecase,1,10,false,1,70533417456
updatecase,1,10,true,1,69648909466
updatecase,1,10,true,5,14327461192
updatecase,1,10,true,10,9407374565
updatecase,1,10,true,15,9879382219
updatecase,1,10,true,20,9551205647
updatecase,1,10,true,30,9152997066
updatecase,1,10,true,50,9095950372
updatecase,1,10,true,100,7209687948
updatecase,1,20,false,1,67170933019
updatecase,1,20,true,1,65529670086
updatecase,1,20,true,5,13677004032
updatecase,1,20,true,10,9425451080
updatecase,1,20,true,15,9616646505
updatecase,1,20,true,20,9264609519
updatecase,1,20,true,30,8698868009
updatecase,1,20,true,50,8496360072
updatecase,1,20,true,100,7479308699
updatecase,1,50,false,1,64622268619
updatecase,1,50,true,1,62981449922
updatecase,1,50,true,5,13119069555
updatecase,1,50,true,10,9062370217
updatecase,1,50,true,15,9148394932
updatecase,1,50,true,20,9003842888
updatecase,1,50,true,30,8744287384
updatecase,1,50,true,50,8533416332
updatecase,1,50,true,100,7230673661
updatecase,1,100,false,1,63490336861
updatecase,1,100,true,1,63138528401
updatecase,1,100,true,5,12946841739
updatecase,1,100,true,10,9006506195
updatecase,1,100,true,15,9380628896
updatecase,1,100,true,20,9138700759
updatecase,1,100,true,30,8960929698
updatecase,1,100,true,50,8618238386
updatecase,1,100,true,100,6999236139
updatecase,1,200,false,1,65501695582
updatecase,1,200,true,1,62673908103
updatecase,1,200,true,5,12862394406
updatecase,1,200,true,10,8949245196
updatecase,1,200,true,15,9490254291
updatecase,1,200,true,20,9386212194
updatecase,1,200,true,30,8976258183
updatecase,1,200,true,50,8682286722
updatecase,1,200,true,100,7155213912
updatecase,1,500,false,1,66812930764
updatecase,1,500,true,1,65684737434
updatecase,1,500,true,5,12974337421
updatecase,1,500,true,10,9070400079
updatecase,1,500,true,15,9475959032
updatecase,1,500,true,20,9458137597
updatecase,1,500,true,30,9005626987
updatecase,1,500,true,50,8492912132
updatecase,1,500,true,100,7171479349
updatecase,1,1000,false,1,66574234411
updatecase,1,1000,true,1,65952863675
updatecase,1,1000,true,5,12874419573
updatecase,1,1000,true,10,8828890788
updatecase,1,1000,true,15,9390248405
updatecase,1,1000,true,20,9233889303
updatecase,1,1000,true,30,8882469613
updatecase,1,1000,true,50,8402162216
updatecase,1,1000,true,100,7168578712
updatecase,50,1,false,1,7096158298
updatecase,50,1,true,1,6974396551
updatecase,50,1,true,5,1479506570
updatecase,50,1,true,10,1127799598
updatecase,50,1,true,15,1051366434
updatecase,50,1,true,20,1110116937
updatecase,50,1,true,30,989178909
updatecase,50,1,true,50,951343943
updatecase,50,1,true,100,833749854
updatecase,50,10,false,1,5741460011
updatecase,50,10,true,1,5745106153
updatecase,50,10,true,5,1335484621
updatecase,50,10,true,10,1021377213
updatecase,50,10,true,15,947527593
updatecase,50,10,true,20,920997663
updatecase,50,10,true,30,938594370
updatecase,50,10,true,50,820873563
updatecase,50,10,true,100,726941796
updatecase,50,20,false,1,5667360680
updatecase,50,20,true,1,5666765498
updatecase,50,20,true,5,1285598163
updatecase,50,20,true,10,992653514
updatecase,50,20,true,15,958022980
updatecase,50,20,true,20,982396679
updatecase,50,20,true,30,924703118
updatecase,50,20,true,50,861082416
updatecase,50,20,true,100,803630827
updatecase,50,50,false,1,5580019148
updatecase,50,50,true,1,5757423021
updatecase,50,50,true,5,1343609943
updatecase,50,50,true,10,977410094
updatecase,50,50,true,15,966106225
updatecase,50,50,true,20,987974467
updatecase,50,50,true,30,893180957
updatecase,50,50,true,50,913652450
updatecase,50,50,true,100,830627619
updatecase,50,100,false,1,5664238445
updatecase,50,100,true,1,5724313614
updatecase,50,100,true,5,1330437938
updatecase,50,100,true,10,936248015
updatecase,50,100,true,15,924049966
updatecase,50,100,true,20,924403812
updatecase,50,100,true,30,913515248
updatecase,50,100,true,50,910507495
updatecase,50,100,true,100,864578217
updatecase,50,200,false,1,5704966859
updatecase,50,200,true,1,5811555434
updatecase,50,200,true,5,1219874295
updatecase,50,200,true,10,902839104
updatecase,50,200,true,15,971471441
updatecase,50,200,true,20,947806705
updatecase,50,200,true,30,923852263
updatecase,50,200,true,50,897043616
updatecase,50,200,true,100,818841779
updatecase,50,500,false,1,5756108012
updatecase,50,500,true,1,5729994822
updatecase,50,500,true,5,1263276959
updatecase,50,500,true,10,905153960
updatecase,50,500,true,15,937622853
updatecase,50,500,true,20,943840305
updatecase,50,500,true,30,929446576
updatecase,50,500,true,50,925965453
updatecase,50,500,true,100,807999679
updatecase,50,1000,false,1,5719527092
updatecase,50,1000,true,1,5663812072
updatecase,50,1000,true,5,1238843453
updatecase,50,1000,true,10,944855873
updatecase,50,1000,true,15,973110446
updatecase,50,1000,true,20,949427840
updatecase,50,1000,true,30,920170990
updatecase,50,1000,true,50,891470193
updatecase,50,1000,true,100,808814605
updatecase,100,1,false,1,5613413352
updatecase,100,1,true,1,5550529333
updatecase,100,1,true,5,1230741520
updatecase,100,1,true,10,907262497
updatecase,100,1,true,15,907761232
updatecase,100,1,true,20,886382127
updatecase,100,1,true,30,848549909
updatecase,100,1,true,50,791927736
updatecase,100,1,true,100,671452567
updatecase,100,10,false,1,4907670861
updatecase,100,10,true,1,4799023249
updatecase,100,10,true,5,1091329403
updatecase,100,10,true,10,796979319
updatecase,100,10,true,15,814963676
updatecase,100,10,true,20,806953585
updatecase,100,10,true,30,725714711
updatecase,100,10,true,50,682624708
updatecase,100,10,true,100,738648090
updatecase,100,20,false,1,4859687000
updatecase,100,20,true,1,4691159179
updatecase,100,20,true,5,1121321485
updatecase,100,20,true,10,837067728
updatecase,100,20,true,15,829049093
updatecase,100,20,true,20,806172239
updatecase,100,20,true,30,739964345
updatecase,100,20,true,50,737303284
updatecase,100,20,true,100,724276952
updatecase,100,50,false,1,4733517851
updatecase,100,50,true,1,4694803409
updatecase,100,50,true,5,1142070273
updatecase,100,50,true,10,898541526
updatecase,100,50,true,15,850565828
updatecase,100,50,true,20,809444481
updatecase,100,50,true,30,755612039
updatecase,100,50,true,50,756686696
updatecase,100,50,true,100,692287518
updatecase,100,100,false,1,4794814443
updatecase,100,100,true,1,4768177352
updatecase,100,100,true,5,1051160461
updatecase,100,100,true,10,837492827
updatecase,100,100,true,15,816862919
updatecase,100,100,true,20,827213123
updatecase,100,100,true,30,781726632
updatecase,100,100,true,50,745678041
updatecase,100,100,true,100,701975283
updatecase,100,200,false,1,4781177558
updatecase,100,200,true,1,4766268170
updatecase,100,200,true,5,1057261944
updatecase,100,200,true,10,828551907
updatecase,100,200,true,15,801565321
updatecase,100,200,true,20,793220263
updatecase,100,200,true,30,763151305
updatecase,100,200,true,50,724414256
updatecase,100,200,true,100,682269187
updatecase,100,500,false,1,4705989208
updatecase,100,500,true,1,4667966676
updatecase,100,500,true,5,1006330909
updatecase,100,500,true,10,890034055
updatecase,100,500,true,15,821801825
updatecase,100,500,true,20,796931766
updatecase,100,500,true,30,819139789
updatecase,100,500,true,50,728703298
updatecase,100,500,true,100,696900833
updatecase,100,1000,false,1,4709321495
updatecase,100,1000,true,1,4753940575
updatecase,100,1000,true,5,1011503409
updatecase,100,1000,true,10,890594548
updatecase,100,1000,true,15,833814211
updatecase,100,1000,true,20,786731983
updatecase,100,1000,true,30,739575967
updatecase,100,1000,true,50,720995416
updatecase,100,1000,true,100,731384530
updatecase,200,1,false,1,4796790584
updatecase,200,1,true,1,4792284820
updatecase,200,1,true,5,1132219683
updatecase,200,1,true,10,781414072
updatecase,200,1,true,15,709608111
updatecase,200,1,true,20,746023328
updatecase,200,1,true,30,713890261
updatecase,200,1,true,50,604829027
updatecase,200,1,true,100,570272743
updatecase,200,10,false,1,4440220636
updatecase,200,10,true,1,4375470456
updatecase,200,10,true,5,1073655576
updatecase,200,10,true,10,731293125
updatecase,200,10,true,15,679253320
updatecase,200,10,true,20,671454843
