env,rows_inserted,innodb_buffer_pool_size,innodb_log_file_size,rows_per_stmt,stmts_per_transaction,concurrency,duration
default_config,50000000,134217728,100663296,2000,1,1,814.885
default_config,50000000,134217728,100663296,2000,2,1,781.761
default_config,50000000,134217728,100663296,2000,4,1,758.871
default_config,50000000,134217728,100663296,2000,8,1,758.061
default_config,50000000,134217728,100663296,2000,16,1,749.378
default_config,50000000,134217728,100663296,2000,32,1,734.381
default_config,50000000,134217728,100663296,2000,64,1,724.986
default_config,50000000,134217728,100663296,2000,1,1,808.786
default_config,50000000,134217728,100663296,2000,1,5,319.677
default_config,50000000,134217728,100663296,2000,1,10,336.200
default_config,50000000,134217728,100663296,2000,1,20,447.748
default_config,50000000,134217728,100663296,2000,1,40,477.547
default_config,50000000,134217728,100663296,2000,1,80,485.302
default_config,50000000,134217728,100663296,500,1,1,916.122
default_config,50000000,134217728,100663296,1000,1,1,880.517
default_config,50000000,134217728,100663296,2000,1,1,810.553
default_config,50000000,134217728,100663296,4000,1,1,688.441
default_config,50000000,134217728,100663296,8000,1,1,680.043
default_config,50000000,134217728,100663296,16000,1,1,705.230
default_config,50000000,134217728,100663296,2000,1,5,310.459
default_config,50000000,134217728,100663296,2000,2,5,317.562
default_config,50000000,134217728,100663296,2000,4,5,323.605
default_config,50000000,134217728,100663296,2000,8,5,332.377
default_config,50000000,134217728,100663296,2000,16,5,342.939
default_config,50000000,134217728,100663296,2000,32,5,353.816
default_config,50000000,134217728,100663296,2000,64,5,361.205
default_config,50000000,134217728,100663296,500,1,5,348.858
default_config,50000000,134217728,100663296,1000,1,5,331.803
default_config,50000000,134217728,100663296,2000,1,5,321.726
default_config,50000000,134217728,100663296,4000,1,5,333.673
default_config,50000000,134217728,100663296,8000,1,5,331.775
default_config,50000000,134217728,100663296,16000,1,5,321.838
5GiB_buffer,50000000,5368709120,5368709120,2000,1,1,65.404
5GiB_buffer,50000000,5368709120,5368709120,2000,2,1,64.341
5GiB_buffer,50000000,5368709120,5368709120,2000,4,1,63.224
5GiB_buffer,50000000,5368709120,5368709120,2000,8,1,63.350
5GiB_buffer,50000000,5368709120,5368709120,2000,16,1,61.796
5GiB_buffer,50000000,5368709120,5368709120,2000,32,1,60.573
5GiB_buffer,50000000,5368709120,5368709120,2000,64,1,60.346
5GiB_buffer,50000000,5368709120,5368709120,2000,1,1,67.289
5GiB_buffer,50000000,5368709120,5368709120,2000,1,5,25.834
5GiB_buffer,50000000,5368709120,5368709120,2000,1,10,29.587
5GiB_buffer,50000000,5368709120,5368709120,2000,1,20,38.318
5GiB_buffer,50000000,5368709120,5368709120,2000,1,40,44.446
5GiB_buffer,50000000,5368709120,5368709120,2000,1,80,43.003
5GiB_buffer,50000000,5368709120,5368709120,500,1,1,76.971
5GiB_buffer,50000000,5368709120,5368709120,1000,1,1,69.449
5GiB_buffer,50000000,5368709120,5368709120,2000,1,1,67.498
5GiB_buffer,50000000,5368709120,5368709120,4000,1,1,64.114
5GiB_buffer,50000000,5368709120,5368709120,8000,1,1,58.275
5GiB_buffer,50000000,5368709120,5368709120,16000,1,1,58.971
5GiB_buffer,50000000,5368709120,5368709120,2000,1,5,26.992
5GiB_buffer,50000000,5368709120,5368709120,2000,2,5,27.490
5GiB_buffer,50000000,5368709120,5368709120,2000,4,5,27.371
5GiB_buffer,50000000,5368709120,5368709120,2000,8,5,26.728
5GiB_buffer,50000000,5368709120,5368709120,2000,16,5,29.241
5GiB_buffer,50000000,5368709120,5368709120,2000,32,5,27.202
5GiB_buffer,50000000,5368709120,5368709120,2000,64,5,26.981
5GiB_buffer,50000000,5368709120,5368709120,500,1,5,32.604
5GiB_buffer,50000000,5368709120,5368709120,1000,1,5,28.965
5GiB_buffer,50000000,5368709120,5368709120,2000,1,5,27.957
5GiB_buffer,50000000,5368709120,5368709120,4000,1,5,28.793
5GiB_buffer,50000000,5368709120,5368709120,8000,1,5,28.402
5GiB_buffer,50000000,5368709120,5368709120,16000,1,5,27.622
