scenario,case,operation,duration
empty,TestCaseNoRand,update_existing,0.001068
empty,TestCaseNoRand,delete_old,4.74e-4
empty,TestCaseNoRand,insert_new,333.364881
empty,TestCaseNoRand,update_existing,0.00109
empty,TestCaseNoRand,delete_old,4.88e-4
empty,TestCaseNoRand,insert_new,325.974154
empty,TestCaseNoRand,update_existing,0.001072
empty,TestCaseNoRand,delete_old,4.77e-4
empty,TestCaseNoRand,insert_new,324.127945
empty,TestCaseNoRand,update_existing,0.001277
empty,TestCaseNoRand,delete_old,5.07e-4
empty,TestCaseNoRand,insert_new,324.858837
empty,TestCaseNoRand,update_existing,0.001352
empty,TestCaseNoRand,delete_old,5.16e-4
empty,TestCaseNoRand,insert_new,320.128291
empty,TestCaseNoRand,update_existing,0.001326
empty,TestCaseNoRand,delete_old,5.58e-4
empty,TestCaseNoRand,insert_new,318.936385
empty,TestCaseNoRand,update_existing,0.001216
empty,TestCaseNoRand,delete_old,4.84e-4
empty,TestCaseNoRand,insert_new,320.510766
empty,TestCaseNoRand,update_existing,0.001387
empty,TestCaseNoRand,delete_old,4.96e-4
empty,TestCaseNoRand,insert_new,323.537435
empty,TestCaseNoRand,update_existing,0.001307
empty,TestCaseNoRand,delete_old,5.19e-4
empty,TestCaseNoRand,insert_new,325.017131
empty,TestCaseNoRand,update_existing,0.00127
empty,TestCaseNoRand,delete_old,5.01e-4
empty,TestCaseNoRand,insert_new,324.369732
empty,TestCaseInitial,update_existing,0.001262
empty,TestCaseInitial,delete_old,4.77e-4
empty,TestCaseInitial,insert_new,529.612313
empty,TestCaseInitial,update_existing,0.001249
empty,TestCaseInitial,delete_old,4.66e-4
empty,TestCaseInitial,insert_new,517.28676599999994
empty,TestCaseInitial,update_existing,0.001219
empty,TestCaseInitial,delete_old,4.89e-4
empty,TestCaseInitial,insert_new,516.700932
empty,TestCaseInitial,update_existing,0.001249
empty,TestCaseInitial,delete_old,4.79e-4
empty,TestCaseInitial,insert_new,525.816897
empty,TestCaseInitial,update_existing,0.001261
empty,TestCaseInitial,delete_old,4.84e-4
empty,TestCaseInitial,insert_new,528.259343
empty,TestCaseInitial,update_existing,0.001284
empty,TestCaseInitial,delete_old,4.71e-4
empty,TestCaseInitial,insert_new,526.051339
empty,TestCaseInitial,update_existing,0.0013
empty,TestCaseInitial,delete_old,5.07e-4
empty,TestCaseInitial,insert_new,519.991529
empty,TestCaseInitial,update_existing,0.001657
empty,TestCaseInitial,delete_old,5.64e-4
empty,TestCaseInitial,insert_new,520.88275
empty,TestCaseInitial,update_existing,0.001099
empty,TestCaseInitial,delete_old,4.94e-4
empty,TestCaseInitial,insert_new,525.470996
empty,TestCaseInitial,update_existing,0.001073
empty,TestCaseInitial,delete_old,4.65e-4
empty,TestCaseInitial,insert_new,524.439374
empty,TestCaseInsertAllConditionsInOn,update_existing,0.001262
empty,TestCaseInsertAllConditionsInOn,delete_old,4.8e-4
empty,TestCaseInsertAllConditionsInOn,insert_new,530.496856
empty,TestCaseInsertAllConditionsInOn,update_existing,0.00153
empty,TestCaseInsertAllConditionsInOn,delete_old,5.35e-4
empty,TestCaseInsertAllConditionsInOn,insert_new,513.282427
empty,TestCaseInsertAllConditionsInOn,update_existing,0.001267
empty,TestCaseInsertAllConditionsInOn,delete_old,4.66e-4
empty,TestCaseInsertAllConditionsInOn,insert_new,512.805756
empty,TestCaseInsertAllConditionsInOn,update_existing,0.001133
empty,TestCaseInsertAllConditionsInOn,delete_old,5.03e-4
empty,TestCaseInsertAllConditionsInOn,insert_new,517.452043
empty,TestCaseInsertAllConditionsInOn,update_existing,0.001297
empty,TestCaseInsertAllConditionsInOn,delete_old,4.86e-4
empty,TestCaseInsertAllConditionsInOn,insert_new,522.474593
empty,TestCaseInsertAllConditionsInOn,update_existing,0.00144
