test,context,method,duration
insert,empty,join,67.735762
insert,empty,join,67.299165
insert,empty,join,66.897049
insert,empty,join,67.603382
insert,empty,join,66.819503
insert,empty,join,66.824199
insert,empty,join,66.592194
insert,empty,join,66.144054
insert,empty,join,67.151128
insert,empty,join,66.520816
insert,empty,in,80.526083
insert,empty,in,79.604252
insert,empty,in,80.102818
insert,empty,in,80.450776
insert,empty,in,80.233264
insert,empty,in,78.951749
insert,empty,in,79.910286
insert,empty,in,79.595429
insert,empty,in,80.631389
insert,empty,in,80.12621
insert,no_inserts,join,8.190252
insert,no_inserts,join,6.370869
insert,no_inserts,join,7.652705
insert,no_inserts,join,7.614369
insert,no_inserts,join,6.882359
insert,no_inserts,join,6.881927
insert,no_inserts,join,6.290474
insert,no_inserts,join,7.80509
insert,no_inserts,join,6.46022
insert,no_inserts,join,5.867634
insert,no_inserts,in,5.927744
insert,no_inserts,in,6.284393
insert,no_inserts,in,6.076394
insert,no_inserts,in,7.243151
insert,no_inserts,in,7.446558
insert,no_inserts,in,5.78809
insert,no_inserts,in,7.001922
insert,no_inserts,in,7.709685
insert,no_inserts,in,6.010143
insert,no_inserts,in,5.809692
update,no_inserts,v1,114.128962
update,no_inserts,v1,114.496745
update,no_inserts,v1,113.300974
update,no_inserts,v1,115.090336
update,no_inserts,v1,115.695897
update,no_inserts,v1,113.989086
update,no_inserts,v1,114.177569
update,no_inserts,v1,114.373073
update,no_inserts,v1,113.620061
update,no_inserts,v1,114.274546
update,no_inserts,v1,114.179574
update,no_inserts,v1,114.416873
update,no_inserts,v1,113.982087
update,no_inserts,v1,113.710116
update,no_inserts,v1,114.292905
update,no_inserts,v1,114.078739
update,no_inserts,v1,114.287215
update,no_inserts,v1,114.729212
update,no_inserts,v1,114.789923
update,no_inserts,v1,116.102632
delete,no_inserts,v1,8.090855
delete,no_inserts,v1,7.651245
delete,no_inserts,v1,7.765761
delete,no_inserts,v1,7.578306
delete,no_inserts,v1,7.507453
delete,no_inserts,v1,7.283674
delete,no_inserts,v1,7.88392
delete,no_inserts,v1,7.680672
delete,no_inserts,v1,7.604768
delete,no_inserts,v1,7.889683
delete,no_inserts,v1,7.813519
delete,no_inserts,v1,9.222974
delete,no_inserts,v1,7.880353
delete,no_inserts,v1,8.116976
delete,no_inserts,v1,7.51543
delete,no_inserts,v1,7.984184
delete,no_inserts,v1,7.767753
delete,no_inserts,v1,7.907947
delete,no_inserts,v1,7.564581
delete,no_inserts,v1,7.812202
