test,context,method,duration
insert,empty,join,83.269831
insert,empty,join,84.242629
insert,empty,join,84.435503
insert,empty,join,83.206842
insert,empty,join,84.316751
insert,empty,join,84.229579
insert,empty,join,84.050485
insert,empty,join,82.916942
insert,empty,join,84.432851
insert,empty,join,83.977126
insert,empty,in,97.386307
insert,empty,in,97.430792
insert,empty,in,98.068613
insert,empty,in,98.294909
insert,empty,in,98.337178
insert,empty,in,98.077804
insert,empty,in,97.089069
insert,empty,in,97.63417
insert,empty,in,96.925438
insert,empty,in,96.780902
insert,no_inserts,join,7.756143
insert,no_inserts,join,8.308635
insert,no_inserts,join,7.425984
insert,no_inserts,join,7.560794
insert,no_inserts,join,8.221211
insert,no_inserts,join,8.352137
insert,no_inserts,join,5.953192
insert,no_inserts,join,6.65423
insert,no_inserts,join,7.648633
insert,no_inserts,join,7.73521
insert,no_inserts,in,7.468344
insert,no_inserts,in,6.104938
insert,no_inserts,in,6.578505
insert,no_inserts,in,7.137975
insert,no_inserts,in,6.95076
insert,no_inserts,in,7.551639
insert,no_inserts,in,7.374153
insert,no_inserts,in,8.493502
insert,no_inserts,in,6.971973
insert,no_inserts,in,8.272092
update,no_inserts,v1,116.820097
update,no_inserts,v1,117.855361
update,no_inserts,v1,117.180676
update,no_inserts,v1,116.962765
update,no_inserts,v1,116.395548
update,no_inserts,v1,117.50847
update,no_inserts,v1,117.666877
update,no_inserts,v1,118.019733
update,no_inserts,v1,118.543445
update,no_inserts,v1,118.594122
update,no_inserts,v1,118.397093
update,no_inserts,v1,118.771707
update,no_inserts,v1,119.32158
update,no_inserts,v1,118.748954
update,no_inserts,v1,117.916903
update,no_inserts,v1,117.610308
update,no_inserts,v1,118.052722
update,no_inserts,v1,118.520744
update,no_inserts,v1,118.828155
update,no_inserts,v1,117.126943
delete,no_inserts,v1,8.121963
delete,no_inserts,v1,7.667887
delete,no_inserts,v1,8.565111
delete,no_inserts,v1,7.887083
delete,no_inserts,v1,8.561071
delete,no_inserts,v1,7.596224
delete,no_inserts,v1,9.330892
delete,no_inserts,v1,7.786376
delete,no_inserts,v1,8.753127
delete,no_inserts,v1,7.810398
delete,no_inserts,v1,9.094587
delete,no_inserts,v1,7.764952
delete,no_inserts,v1,8.319193
delete,no_inserts,v1,8.292226
delete,no_inserts,v1,7.477168
delete,no_inserts,v1,7.882798
delete,no_inserts,v1,8.156117
delete,no_inserts,v1,7.448224
delete,no_inserts,v1,7.315491
delete,no_inserts,v1,7.892204
